yyyy,Datum,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,Ret,ExRetCR
1871,1871,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057336721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1872,1872,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.071898664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.124790773,0.055359244
1873,1873,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.086619039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0651962,-0.148267276
1874,1874,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04854423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.096954241,0.049551486
1875,1875,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043809272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02823206,-0.014644723
1876,1876,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041066331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.118927855,-0.159173362
1877,1877,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041461993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.039891329,-0.080516818
1878,1878,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038146782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110577652,0.073140469
1879,1879,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040411502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.394780208,0.355163898
1880,1880,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041876697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.214980241,0.173956637
1881,1881,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04162463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.080569439,0.039787801
1882,1882,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045551999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024652029,-0.019892946
1883,1883,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045398599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.029541679,-0.073939926
1884,1884,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041670766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.138358433,-0.179184363
1885,1885,5.2,0.24,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03159193,NaN,NaN,NaN,NaN,0.023738903,NaN,NaN,NaN,NaN,0.225904713,0.194801541
1886,1886,5.64,0.22,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037770572,NaN,NaN,NaN,NaN,0.016458602,NaN,NaN,NaN,NaN,0.119490978,0.082416247
1887,1887,5.27,0.25,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046493221,NaN,NaN,NaN,NaN,0.01829846,NaN,NaN,NaN,NaN,-0.021506205,-0.06695099
1888,1888,5.14,0.23,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038890634,NaN,NaN,NaN,NaN,0.012850602,NaN,NaN,NaN,NaN,0.018797546,-0.0193559
1889,1889,5.32,0.22,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038668615,NaN,NaN,NaN,NaN,0.006874038,NaN,NaN,NaN,NaN,0.074941421,0.037001706
1890,1890,4.6,0.22,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045338645,NaN,NaN,NaN,NaN,0.022621059,NaN,NaN,NaN,NaN,-0.098699375,-0.14304027
1891,1891,5.41,0.22,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043296045,NaN,NaN,NaN,NaN,0.016123532,NaN,NaN,NaN,NaN,0.202053139,0.159668163
1892,1892,5.51,0.24,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032046699,NaN,NaN,NaN,NaN,0.01088616,NaN,NaN,NaN,NaN,0.060950762,0.029406845
1893,1893,4.41,0.25,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.055663185,NaN,NaN,NaN,NaN,0.05458439,NaN,NaN,NaN,NaN,-0.167549175,-0.221718356
1894,1894,4.3,0.21,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022609906,NaN,NaN,NaN,NaN,0.016738738,NaN,NaN,NaN,NaN,0.022422464,6.44E-05
1895,1895,4.32,0.19,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028175464,NaN,NaN,NaN,NaN,0.028689706,NaN,NaN,NaN,NaN,0.047682131,0.019896294
1896,1896,4.22,0.18,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046987062,NaN,NaN,NaN,NaN,0.046433235,NaN,NaN,NaN,NaN,0.018349139,-0.027567436
1897,1897,4.75,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026659968,NaN,NaN,NaN,NaN,0.022751517,NaN,NaN,NaN,NaN,0.15550386,0.129193076
1898,1898,5.65,0.2,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029441185,NaN,NaN,NaN,NaN,0.032424408,NaN,NaN,NaN,NaN,0.208297043,0.179280927
1899,1899,6.02,0.21,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032413882,NaN,NaN,NaN,NaN,0.027096542,NaN,NaN,NaN,NaN,0.097720788,0.065821153
1900,1900,6.87,0.3,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03443982,NaN,NaN,NaN,NaN,0.017160114,NaN,NaN,NaN,NaN,0.174818395,0.140958352
1901,1901,7.95,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033556814,NaN,NaN,NaN,NaN,0.037292987,NaN,NaN,NaN,NaN,0.185470403,0.152464332
